0	1
1	-9
2	41
3	-125.667
4	291
5	-542.333
6	846.556
7	-1137.57
8	1342.59
9	-1413.14
10	1342.59
11	-1162.62
12	925.052
13	-4250.79
14	73938.6
15	-424986
16	4.56456e+06
17	3.51158e+08
18	-7.61891e+08
19	-9.1968e+10
20	-1.39539e+11
21	6.97201e+11
22	-1.84337e+13
23	-1.34382e+14
24	-1.42313e+15
25	-6.23967e+15
26	-6.01805e+16
27	-7.33679e+17
28	-8.00254e+18
29	7.25443e+19
30	7.82123e+20
31	-1.27644e+22
32	-5.93305e+22
33	4.06331e+23
34	inf
35	-nan
36	-nan
37	-nan
38	-nan
39	-nan
40	-nan
41	-nan
42	-nan
43	-nan
44	-nan
45	-nan
46	-nan
47	-nan
48	-nan
49	-nan
50	-nan
0	1
1	-0.2
2	0.52
3	0.232
4	0.3184
5	0.297664
6	0.301811
7	0.3011
8	0.301207
9	0.301193
10	0.301194
